역명,일자, 이용인원 , 승차인원 , 하차인원 
동춘,2023-06-13,20644,10062,10582
동막,2023-06-13,11111,5919,5192
캠퍼스타운,2023-06-13,12292,6126,6166
테크노파크,2023-06-13,21527,10779,10748
지식정보단지,2023-06-13,11037,5434,5603
인천대입구,2023-06-13,17779,8954,8825
센트럴파크(재외동포청),2023-06-13,7737,3854,3883
국제업무지구,2023-06-13,3489,1789,1700
송도달빛축제공원,2023-06-13,10384,5181,5203
계양,2023-06-14,7981,4034,3947
귤현,2023-06-14,2648,1043,1605
박촌,2023-06-14,8330,4354,3976
임학,2023-06-14,16529,8354,8175
계산,2023-06-14,22678,11537,11141
경인교대입구,2023-06-14,11820,5961,5859
작전,2023-06-14,28810,14639,14171
갈산,2023-06-14,19592,9884,9708
부평구청,2023-06-14,14746,7321,7425
부평시장,2023-06-14,27323,13694,13629
부평,2023-06-14,13188,6501,6687
동수,2023-06-14,8685,4394,4291
부평삼거리,2023-06-14,5537,2778,2759
간석오거리,2023-06-14,22713,11849,10864
인천시청,2023-06-14,11862,5962,5900
예술회관,2023-06-14,24505,12029,12476
인천터미널,2023-06-14,26823,13221,13602
문학경기장,2023-06-14,6516,3166,3350
선학,2023-06-14,13022,6588,6434
신연수,2023-06-14,11747,5986,5761
원인재,2023-06-14,6370,3405,2965
동춘,2023-06-14,21155,10339,10816
동막,2023-06-14,11522,6075,5447
캠퍼스타운,2023-06-14,12468,6286,6182
테크노파크,2023-06-14,21970,11123,10847
지식정보단지,2023-06-14,10787,5274,5513
인천대입구,2023-06-14,18041,9148,8893
센트럴파크(재외동포청),2023-06-14,7769,3880,3889
국제업무지구,2023-06-14,3462,1775,1687
송도달빛축제공원,2023-06-14,10294,5147,5147
계양,2023-06-15,8052,4011,4041
귤현,2023-06-15,2580,1003,1577
박촌,2023-06-15,8075,4243,3832
임학,2023-06-15,16683,8433,8250
계산,2023-06-15,22042,11205,10837
경인교대입구,2023-06-15,11928,6103,5825
작전,2023-06-15,28402,14452,13950
갈산,2023-06-15,19412,9813,9599
부평구청,2023-06-15,14155,6958,7197
부평시장,2023-06-15,27643,13831,13812
부평,2023-06-15,13336,6590,6746
동수,2023-06-15,8639,4408,4231
부평삼거리,2023-06-15,5563,2813,2750
간석오거리,2023-06-15,22278,11583,10695
인천시청,2023-06-15,11305,5770,5535
예술회관,2023-06-15,24764,12056,12708
인천터미널,2023-06-15,27007,13381,13626
문학경기장,2023-06-15,6937,3416,3521
선학,2023-06-15,13121,6572,6549
신연수,2023-06-15,11535,5840,5695
원인재,2023-06-15,6176,3322,2854
동춘,2023-06-15,21124,10307,10817
동막,2023-06-15,11322,5927,5395
캠퍼스타운,2023-06-15,12800,6498,6302
테크노파크,2023-06-15,22088,10926,11162
지식정보단지,2023-06-15,10433,5114,5319
인천대입구,2023-06-15,15822,7955,7867
센트럴파크(재외동포청),2023-06-15,7764,3842,3922
국제업무지구,2023-06-15,3460,1775,1685
송도달빛축제공원,2023-06-15,10286,5155,5131
계양,2023-06-16,8503,4328,4175
귤현,2023-06-16,2723,1081,1642
박촌,2023-06-16,8340,4353,3987
임학,2023-06-16,16881,8611,8270
계산,2023-06-16,22811,11726,11085
경인교대입구,2023-06-16,12005,6056,5949
작전,2023-06-16,29644,15119,14525
갈산,2023-06-16,19432,9821,9611
부평구청,2023-06-16,14728,7253,7475
부평시장,2023-06-16,28335,14063,14272
부평,2023-06-16,14552,7179,7373
동수,2023-06-16,8691,4446,4245
부평삼거리,2023-06-16,5597,2796,2801
간석오거리,2023-06-16,22592,11921,10671
인천시청,2023-06-16,12026,6076,5950
예술회관,2023-06-16,26003,12411,13592
인천터미널,2023-06-16,31903,15661,16242
문학경기장,2023-06-16,11976,5702,6274
선학,2023-06-16,13402,6726,6676
신연수,2023-06-16,11773,5985,5788
원인재,2023-06-16,6377,3371,3006
동춘,2023-06-16,22213,10896,11317
동막,2023-06-16,11539,6165,5374
캠퍼스타운,2023-06-16,13179,6731,6448
테크노파크,2023-06-16,23760,11891,11869
지식정보단지,2023-06-16,10388,5103,5285
인천대입구,2023-06-16,16097,8107,7990
센트럴파크(재외동포청),2023-06-16,8710,4294,4416
국제업무지구,2023-06-16,3478,1761,1717
송도달빛축제공원,2023-06-16,10671,5421,5250
계양,2023-06-17,7077,3382,3695
귤현,2023-06-17,1827,853,974
박촌,2023-06-17,6155,3262,2893
임학,2023-06-17,12701,6478,6223
계산,2023-06-17,19661,9885,9776
경인교대입구,2023-06-17,9822,4965,4857
작전,2023-06-17,22708,11676,11032
갈산,2023-06-17,10007,5260,4747
부평구청,2023-06-17,10691,5236,5455
부평시장,2023-06-17,19603,9817,9786
부평,2023-06-17,14005,6908,7097
동수,2023-06-17,5782,2977,2805
부평삼거리,2023-06-17,4276,2156,2120
간석오거리,2023-06-17,17657,9237,8420
인천시청,2023-06-17,8297,4270,4027
예술회관,2023-06-17,19850,9318,10532
인천터미널,2023-06-17,30225,14725,15500
문학경기장,2023-06-17,16306,7874,8432
선학,2023-06-17,11449,5868,5581
신연수,2023-06-17,6745,3551,3194
원인재,2023-06-17,4069,2151,1918
동춘,2023-06-17,16027,8012,8015
동막,2023-06-17,7194,3835,3359
캠퍼스타운,2023-06-17,8697,4564,4133
테크노파크,2023-06-17,19795,9750,10045
지식정보단지,2023-06-17,4680,2411,2269
인천대입구,2023-06-17,12054,5912,6142
센트럴파크(재외동포청),2023-06-17,8988,4344,4644
국제업무지구,2023-06-17,1694,902,792
송도달빛축제공원,2023-06-17,8480,4268,4212
계양,2023-06-18,4903,2273,2630
귤현,2023-06-18,1201,519,682
박촌,2023-06-18,4268,2193,2075
임학,2023-06-18,8964,4466,4498
계산,2023-06-18,14120,7022,7098
경인교대입구,2023-06-18,7364,3724,3640
작전,2023-06-18,14366,7300,7066
갈산,2023-06-18,6864,3539,3325
부평구청,2023-06-18,7596,3645,3951
부평시장,2023-06-18,14801,7366,7435
부평,2023-06-18,9295,4924,4371
동수,2023-06-18,4315,2180,2135
부평삼거리,2023-06-18,3473,1730,1743
간석오거리,2023-06-18,12580,6549,6031
인천시청,2023-06-18,5882,2999,2883
예술회관,2023-06-18,12316,5989,6327
인천터미널,2023-06-18,23762,12056,11706
문학경기장,2023-06-18,10261,5098,5163
선학,2023-06-18,8073,4036,4037
신연수,2023-06-18,4591,2347,2244
원인재,2023-06-18,2702,1403,1299
동춘,2023-06-18,11726,5762,5964
동막,2023-06-18,4506,2319,2187
캠퍼스타운,2023-06-18,6221,3025,3196
테크노파크,2023-06-18,16304,8110,8194
지식정보단지,2023-06-18,2988,1521,1467
인천대입구,2023-06-18,8313,3953,4360
센트럴파크(재외동포청),2023-06-18,6263,3064,3199
국제업무지구,2023-06-18,724,375,349
송도달빛축제공원,2023-06-18,6572,3258,3314
계양,2023-06-19,7645,3831,3814
귤현,2023-06-19,2435,970,1465
박촌,2023-06-19,7817,4066,3751
임학,2023-06-19,15911,8088,7823
계산,2023-06-19,21109,10758,10351
경인교대입구,2023-06-19,11155,5673,5482
작전,2023-06-19,27447,13853,13594
갈산,2023-06-19,18696,9439,9257
부평구청,2023-06-19,13524,6687,6837
부평시장,2023-06-19,26253,13144,13109
부평,2023-06-19,12513,6255,6258
동수,2023-06-19,8238,4202,4036
부평삼거리,2023-06-19,5140,2603,2537
간석오거리,2023-06-19,21016,11012,10004
인천시청,2023-06-19,10752,5484,5268
예술회관,2023-06-19,23061,11308,11753
인천터미널,2023-06-19,26170,12891,13279
문학경기장,2023-06-19,3478,1705,1773
선학,2023-06-19,12000,6050,5950
신연수,2023-06-19,10847,5504,5343
원인재,2023-06-19,5814,3125,2689
동춘,2023-06-19,20135,9801,10334
동막,2023-06-19,10971,5830,5141
캠퍼스타운,2023-06-19,12029,6016,6013
테크노파크,2023-06-19,20961,10525,10436
지식정보단지,2023-06-19,10062,4923,5139
인천대입구,2023-06-19,14311,7003,7308
센트럴파크(재외동포청),2023-06-19,6847,3453,3394
국제업무지구,2023-06-19,3360,1719,1641
송도달빛축제공원,2023-06-19,9850,4959,4891
계양,2023-06-20,7938,4071,3867
귤현,2023-06-20,2522,994,1528
박촌,2023-06-20,7960,4108,3852
임학,2023-06-20,16331,8292,8039
계산,2023-06-20,21051,10770,10281
경인교대입구,2023-06-20,11425,5727,5698
작전,2023-06-20,27577,13926,13651
갈산,2023-06-20,19501,9870,9631
부평구청,2023-06-20,13809,6827,6982
부평시장,2023-06-20,27399,13708,13691
부평,2023-06-20,12318,6174,6144
동수,2023-06-20,8338,4229,4109
부평삼거리,2023-06-20,5160,2599,2561
간석오거리,2023-06-20,21115,11030,10085
인천시청,2023-06-20,11108,5596,5512
예술회관,2023-06-20,23293,11426,11867
인천터미널,2023-06-20,25781,12843,12938
문학경기장,2023-06-20,3465,1765,1700
선학,2023-06-20,12535,6163,6372
신연수,2023-06-20,11405,5788,5617
원인재,2023-06-20,5940,3192,2748
동춘,2023-06-20,20227,9897,10330
동막,2023-06-20,10892,5760,5132
캠퍼스타운,2023-06-20,12256,6161,6095
테크노파크,2023-06-20,21082,10491,10591
지식정보단지,2023-06-20,10270,4998,5272
인천대입구,2023-06-20,14100,6994,7106
센트럴파크(재외동포청),2023-06-20,7449,3691,3758
국제업무지구,2023-06-20,3388,1690,1698
송도달빛축제공원,2023-06-20,9957,4977,4980
계양,2023-06-21,7530,3789,3741
귤현,2023-06-21,2412,926,1486
박촌,2023-06-21,7853,4123,3730
임학,2023-06-21,16035,8060,7975
계산,2023-06-21,19793,10065,9728
경인교대입구,2023-06-21,11335,5720,5615
작전,2023-06-21,27347,13886,13461
갈산,2023-06-21,19125,9620,9505
부평구청,2023-06-21,13957,6882,7075
부평시장,2023-06-21,26262,13059,13203
부평,2023-06-21,12330,6254,6076
동수,2023-06-21,8141,4144,3997
부평삼거리,2023-06-21,5083,2546,2537
간석오거리,2023-06-21,21402,11216,10186
인천시청,2023-06-21,11264,5709,5555
예술회관,2023-06-21,23844,11599,12245
인천터미널,2023-06-21,25513,12632,12881
문학경기장,2023-06-21,3217,1618,1599
선학,2023-06-21,12162,6089,6073
신연수,2023-06-21,10859,5507,5352
원인재,2023-06-21,5787,3109,2678
동춘,2023-06-21,20288,9851,10437
동막,2023-06-21,10951,5820,5131
캠퍼스타운,2023-06-21,12050,6140,5910
테크노파크,2023-06-21,20764,10435,10329
지식정보단지,2023-06-21,9841,4805,5036
인천대입구,2023-06-21,13594,6850,6744
센트럴파크(재외동포청),2023-06-21,7314,3690,3624
국제업무지구,2023-06-21,3287,1676,1611
송도달빛축제공원,2023-06-21,9937,4986,4951
계양,2023-06-22,7788,3922,3866
귤현,2023-06-22,2576,1034,1542
박촌,2023-06-22,8134,4249,3885
임학,2023-06-22,16432,8318,8114
계산,2023-06-22,21058,10683,10375
경인교대입구,2023-06-22,11454,5788,5666
작전,2023-06-22,27987,14186,13801
갈산,2023-06-22,19571,9911,9660
부평구청,2023-06-22,14030,6872,7158
부평시장,2023-06-22,27499,13762,13737
부평,2023-06-22,13098,6594,6504
동수,2023-06-22,8360,4252,4108
부평삼거리,2023-06-22,5443,2802,2641
간석오거리,2023-06-22,22107,11599,10508
인천시청,2023-06-22,11404,5805,5599
예술회관,2023-06-22,24683,12023,12660
인천터미널,2023-06-22,27168,13380,13788
문학경기장,2023-06-22,3452,1751,1701
선학,2023-06-22,12733,6359,6374
신연수,2023-06-22,11437,5796,5641
원인재,2023-06-22,6207,3313,2894
동춘,2023-06-22,21719,10595,11124
동막,2023-06-22,11493,6082,5411
캠퍼스타운,2023-06-22,12847,6634,6213
테크노파크,2023-06-22,22338,11105,11233
